Channel,MPH Code,PH Gender,Count of Policy/COI Number,Average of PH Entry Age,Average of Policy Term_Month,Sum of Premium,Sum of Sum Assured,Sum of Claim Amount,Count of Claims
SVOJBK0001,HOLIMPH258,Female,34,37.5,9.06,2287.7,795000,,
SVOJBK0001,PUTHMPH135,Female,129,40.22,9.07,9239.7,2675000,,
SVOJBK0001,DEEPMPH013,Male,326,38.73,9.39,18259.55,5215000,50000,3
SVOJBK0001,DEEPMPH013,Female,447,39.86,9.44,25738.45,7335000,35000,2
SVOJBK0001,VIDIMPH028,Female,138,41.25,9.44,41171,9722000,250000,4
SVOJBK0001,AVKSMPH029,Male,507,39.93,9.58,32733.52,9879000,,
SVOJBK0001,AVKSMPH029,Female,614,39.12,9.62,40046.68,12046000,,
SVOJBK0001,MTVAMPH023,Female,12404,39.57,9.8,814384.85,199525000,120000,8
SVOJBK0001,DEEPMPH036,Female,307,41.62,9.87,23822.62,6937000,20000,1
SVOJBK0001,ATHIMPH078,Female,372,36.79,9.91,32161,7830000,,
SVOJBK0001,VIDIMPH028,Male,101,43.93,9.91,33312,7617000,200000,2
SVOJBK0001,DEEPMPH036,Male,231,41.3,10,17978.16,5196000,12000,1
SVOJBK0001,LAXMMPH046,Female,6,43.33,10,3025,775000,,
SVOJBK0001,DAWNMPH098,Female,440,40.26,10.22,45663.1,11020000,,
SVOJBK0001,SRIKMPH076,Female,112,36.67,10.27,9267.2,2355000,,
FINHBK0004,SHRIMPH127,Female,32,39.34,10.38,1973.52,490082,,
SVOJBK0001,SUDAMPH031,Male,64,41.91,10.48,5843.15,1485000,,
SVOJBK0001,LAXMMPH046,Male,14,37.71,10.57,6874,2050000,,
SVOJBK0001,HOLIMPH258,Male,17,36.65,10.59,1358.6,415000,,
SVOJBK0001,SRIKMPH076,Male,31,41.1,10.65,2949.85,765000,,
SVOJBK0001,CONSMPH007,Female,726,38.03,10.67,102735,22400000,35000,1
SVOJBK0001,ADHAMPH065,Female,462,41.66,10.73,43186.9,10375000,25000,1
SVOJBK0001,ADHAMPH065,Male,438,40.39,10.73,40903.3,9825000,,
SVOJBK0001,HAINMPH025,Male,2714,42.65,10.76,793599.21,171157835,412500,4
SVOJBK0001,DAWNMPH098,Male,357,38.84,10.77,40478.5,9434000,,
AJAAMH0001,AJAAMPH003,Female,8378,39.66,10.81,1421068,237738000,1163000,38
SVOJBK0001,CONSMPH007,Male,646,40.17,10.83,29248.45,6545000,20000,2
SVOJBK0001,ANBIMPH009,Female,407,39.15,10.85,24540.75,6590000,75000,2
SVOJBK0001,SHREMPH102,Female,1,47,11,490,100000,,
SVOJBK0001,SHREMPH102,Male,2,27,11,1225,250000,,
SVOJBK0001,AMUTMPH103,Male,638,38.36,11.04,123114.6,20290000,120000,4
SVOJBK0001,AMUTMPH103,Female,721,36.37,11.09,134457.9,21970000,,
SVOJBK0001,SUDAMPH031,Female,247,41.13,11.18,22433.25,5515000,,
SVOJBK0001,HZIGMPH026,Male,8,38.38,11.5,1016.28,353000,,
SVOJBK0001,ANBIMPH009,Male,248,38.45,11.52,16009.5,4255000,15000,1
SVOJBK0001,HAINMPH025,Female,1979,41.39,11.54,478056.56,97618408,,
SVOJBK0001,MESVMPH070,Female,32,48.25,11.63,31620,6400000,,
SVOJBK0001,SRIMMPH255,Female,10,42,11.7,2256.8,400000,,
